"","FLT3","GeneID","Gene_Expression","TCGA"
"329",397.8184,"FANCL",7.47869763457766,"Non-TNBC"
"330",43.2309,"FANCL",8.39980811498144,"Non-TNBC"
"331",289.3009,"FANCL",8.8835817183293,"Non-TNBC"
"332",2.2361,"FANCL",8.03928208584635,"Non-TNBC"
"333",96.1538,"FANCL",7.80627958477918,"Non-TNBC"
"334",1.929,"FANCL",8.9262343119479,"Non-TNBC"
"335",28.9896,"FANCL",7.1943530402567,"Non-TNBC"
"336",20.649,"FANCL",8.41766604926664,"Non-TNBC"
"337",7.8616,"FANCL",7.68534380654584,"Non-TNBC"
"338",25.2904,"FANCL",8.38592191867104,"Non-TNBC"
"339",89.4034,"FANCL",8.28550486851132,"Non-TNBC"
"340",16.243,"FANCL",8.37753461223983,"Non-TNBC"
"341",40.3495,"FANCL",7.84226296185226,"Non-TNBC"
"342",22.7627,"FANCL",8.21753900117191,"Non-TNBC"
"343",147.3752,"FANCL",8.04508306030689,"Non-TNBC"
"344",2.4557,"FANCL",10.8833549751108,"Non-TNBC"
"345",19.3837,"FANCL",8.52170171924907,"Non-TNBC"
"346",70.3833,"FANCL",8.24595860024458,"Non-TNBC"
"347",22.4455,"FANCL",8.24187544985966,"Non-TNBC"
"348",91.8123,"FANCL",8.88784326221904,"Non-TNBC"
"349",14.6905,"FANCL",9.66398729106628,"Non-TNBC"
"350",34.7615,"FANCL",8.81313407753281,"Non-TNBC"
"351",92.9359,"FANCL",7.74456141481475,"Non-TNBC"
"352",41.0213,"FANCL",8.19397768721016,"Non-TNBC"
"353",177.8329,"FANCL",9.02658872887181,"Non-TNBC"
"354",275.0816,"FANCL",8.51392454689286,"Non-TNBC"
"355",25.5014,"FANCL",7.76676144368522,"Non-TNBC"
"356",1.4707,"FANCL",8.31266834977813,"Non-TNBC"
"357",4.2883,"FANCL",8.01309428098066,"Non-TNBC"
"358",6.2903,"FANCL",7.6801154491555,"Non-TNBC"
"359",133.4889,"FANCL",9.4332580593197,"Non-TNBC"
"360",84.3521,"FANCL",8.38488388281863,"Non-TNBC"
"361",35.7193,"FANCL",7.56313066767237,"Non-TNBC"
"362",1.2811,"FANCL",9.59777864134422,"Non-TNBC"
"363",119.3481,"FANCL",8.10797445514692,"Non-TNBC"
"364",58.8429,"FANCL",7.82265304071617,"Non-TNBC"
"365",4.677,"FANCL",8.87840288124825,"Non-TNBC"
"366",1.4322,"FANCL",7.72422937881882,"Non-TNBC"
"367",327.7363,"FANCL",8.36447044205723,"Non-TNBC"
"368",16.221,"FANCL",8.86643048227183,"Non-TNBC"
"369",6.218,"FANCL",8.78617943596605,"Non-TNBC"
"370",31.1141,"FANCL",8.69476077559857,"Non-TNBC"
"371",52.6316,"FANCL",8.58719131996892,"Non-TNBC"
"372",32.6989,"FANCL",8.15428446630819,"Non-TNBC"
"373",118.1076,"FANCL",7.64574056102463,"Non-TNBC"
"374",1.914,"FANCL",8.5099119450111,"Non-TNBC"
"375",41.9393,"FANCL",8.32711247074709,"Non-TNBC"
"376",14.0459,"FANCL",8.93403225885336,"Non-TNBC"
"377",22.5989,"FANCL",7.66356806607219,"Non-TNBC"
"378",10.6882,"FANCL",7.43688890153422,"Non-TNBC"
"379",87.0325,"FANCL",8.50299127718532,"Non-TNBC"
"380",40.3178,"FANCL",8.33976628852138,"Non-TNBC"
"381",148.415,"FANCL",8.77174002109201,"Non-TNBC"
"382",33.3722,"FANCL",8.96319492159736,"Non-TNBC"
"383",35.1111,"FANCL",8.1935066336806,"Non-TNBC"
"384",37.2462,"FANCL",8.609332789797,"Non-TNBC"
"385",159.6725,"FANCL",8.66264060715328,"Non-TNBC"
"386",431.1143,"FANCL",7.32147537829465,"Non-TNBC"
"387",31.5154,"FANCL",8.09113226951171,"Non-TNBC"
"388",244.1948,"FANCL",8.55751731103461,"Non-TNBC"
"389",28.1885,"FANCL",7.70814998155529,"Non-TNBC"
"390",98.4252,"FANCL",8.20515348426058,"Non-TNBC"
